vendor,title,subsub,extraction,drying,price,size,thc_min,thc_max,cbd_max,plant_type,terpenes,lp,province,availability,assortment,available,handle,url
Adults Only,Bumpin' Blue Raspberry NSFW Liquid Diamond 510 Thread,Resin Cartridges,Butane,Hang Dry,43.95,1g,94.000000,99.000000,1.000000,Sativa Dominant,Terpenes May Vary,Heritage Cannabis West Corporation,British Columbia,online,Shared,True,bumpin-blue-raspberry-nsfw-liquid-diamond-510-thread-adults-only-bumpin-blue-raspberry,https://ocs.ca/products/bumpin-blue-raspberry-nsfw-liquid-diamond-510-thread-adults-only-bumpin-blue-raspberry
Adults Only,Cheeky Cherry NSFW Liquid Diamond 510 Thread Cartridge,Live Cartridges,Hydrocarbon,Rack and Tray,43.95,1g,94.000000,99.000000,6.000000,Sativa Dominant,Carene,Heritage Cannabis West Corporation,British Columbia,online,Shared,True,cheeky-cherry-nsfw-liquid-diamond-510-thread-cartridge-adults-only-cherry-bomb,https://ocs.ca/products/cheeky-cherry-nsfw-liquid-diamond-510-thread-cartridge-adults-only-cherry-bomb
Adults Only,Crème Royale Kush NSFW Liquid Blunt Dia 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,43.95,1g,94.000000,99.000000,1.000000,Indica Dominant,,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,creme-royale-kush-nsfw-liquid-blunt-dia-510-thread-cartridge-adults-only-creme-royale,https://ocs.ca/products/creme-royale-kush-nsfw-liquid-blunt-dia-510-thread-cartridge-adults-only-creme-royale
Adults Only,Jungle Tongue NSFW Liquid Diamond 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,43.95,1g,95.000000,99.000000,1.000000,Hybrid,Limonene,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,jungle-tongue-nsfw-liquid-diamond-510-thread-cartridge-adults-only-jungle-tongue,https://ocs.ca/products/jungle-tongue-nsfw-liquid-diamond-510-thread-cartridge-adults-only-jungle-tongue
Adults Only,Lime Licker NSFW Liquid Diamond 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,43.95,1g,95.000000,99.000000,1.000000,Hybrid,Alpha-Pinene,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,lime-licker-nsfw-liquid-diamond-510-thread-cartridge-adults-only-lime-licker,https://ocs.ca/products/lime-licker-nsfw-liquid-diamond-510-thread-cartridge-adults-only-lime-licker
Adults Only,Missionary Mango NSFW Liquid Diamond 510 Thread Cartridge,Live Cartridges,Butane,Hang Dry,43.95,1g,94.000000,99.000000,1.000000,Indica Dominant,,Heritage Cannabis West Corporation,Ontario,online,Shared,True,missionary-mango-nsfw-liquid-diamond-510-thread-cartridge-adults-only,https://ocs.ca/products/missionary-mango-nsfw-liquid-diamond-510-thread-cartridge-adults-only
Adults Only,Naked NSFW Liquid Diamond 510 Thread Cartridge,Resin Cartridges,Butane,Rack and Tray,39.90,1g,90.000000,96.000000,1.000000,Hybrid,Terpenes May Vary,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,naked-nsfw-liquid-diamond-510-thread-cartridge-adults-only,https://ocs.ca/products/naked-nsfw-liquid-diamond-510-thread-cartridge-adults-only
Adults Only,Naked NSFW Liquid Diamond 510 Thread Cartridge,Resin Cartridges,Butane,Rack and Tray,42.95,1g,94.000000,98.000000,1.000000,Hybrid,Terpenes May Vary,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,naked-nsfw-liquid-diamond-510-thread-cartridge-adults-only-naked-nsfw,https://ocs.ca/products/naked-nsfw-liquid-diamond-510-thread-cartridge-adults-only-naked-nsfw
Adults Only,Promiscuous Peach NSFW Liquid Diamond 510 Thread Cartridge,Resin Cartridges,Butane,Hang Dry,43.95,1g,92.000000,98.000000,1.000000,Indica Dominant,,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,promicuous-peach-nfsw-liquid-diamond-510-thread-cartridge-adults-only-promiscuous-peach,https://ocs.ca/products/promicuous-peach-nfsw-liquid-diamond-510-thread-cartridge-adults-only-promiscuous-peach
Adults Only,Purple Mischief NSFW Liquid Diamond Cartridge,Live Cartridges,Butane,Fresh Frozen,43.95,1g,95.000000,99.000000,1.000000,Sativa Dominant,Caryophyllene,Heritage Cannabis West Corporation,Ontario,in-store,Wholesale Only,False,purple-mischief-nsfw-liquid-diamond-cartridge-adults-only,https://ocs.ca/products/purple-mischief-nsfw-liquid-diamond-cartridge-adults-only
Adults Only,Raspberry Kush NSFW Liquid Blunt Diamond 510 Thread Cartridg,Resin Cartridges,Butane,Fresh Frozen,42.95,1g,93.000000,99.000000,1.000000,Hybrid,Geraniol,Heritage Cannabis West Corporation,Ontario,online,Shared,True,raspberry-kush-nsfw-liquid-blunt-diamond-510-thread-cartridg-adults-only,https://ocs.ca/products/raspberry-kush-nsfw-liquid-blunt-diamond-510-thread-cartridg-adults-only
Adults Only,Tropical Kush NSFW Liquid Blunt Diamond 510 Thread Cartridge,Resin Cartridges,Butane,Fresh Frozen,42.95,1g,95.000000,99.000000,1.000000,Sativa Dominant,Humulene,Heritage Cannabis West Corporation,Ontario,in-store,Wholesale Only,False,tropical-kush-nsfw-liquid-blunt-diamond-510-thread-cartridge-adults-only,https://ocs.ca/products/tropical-kush-nsfw-liquid-blunt-diamond-510-thread-cartridge-adults-only
Ambr,Papaya Pure Live Resin 510 Thread Cartridge,Live Cartridges,Ethanol,Fresh Frozen,42.95,0.95g,78.000000,84.000000,6.000000,Hybrid,Caryophyllene,Canadian Clinical Cannabinoids Inc.,Ontario,in-store,Wholesale Only,False,papaya-pure-live-resin-510-thread-cartridge-ambr-papaya,https://ocs.ca/products/papaya-pure-live-resin-510-thread-cartridge-ambr-papaya
Back Forty,Blackberry Breath Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,,,34.95,0.95g,95.000000,99.000000,0.500000,Indica Dominant,Carene,Auxly Inc.,,online,Shared,True,blackberry-breath-liquid-diamonds-510-thread-cartridge-back-forty,https://ocs.ca/products/blackberry-breath-liquid-diamonds-510-thread-cartridge-back-forty
Back Forty,Forbidden Fruit Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,Ethanol,Rack and Tray,34.95,0.95g,95.000000,99.000000,0.500000,Sativa Dominant,Alpha-Pinene,Auxly Inc.,Ontario,in-store,Wholesale Only,False,forbidden-fruit-liquid-diamonds-510-thread-cartridge-back-forty,https://ocs.ca/products/forbidden-fruit-liquid-diamonds-510-thread-cartridge-back-forty
Back Forty,Iced Grape Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,Ethanol,Rack and Tray,34.95,0.95g,92.000000,98.000000,5.000000,Sativa Dominant,,Auxly Inc.,Ontario,in-store,Wholesale Only,False,iced-grape-510-thread-cartridge-back-forty,https://ocs.ca/products/iced-grape-510-thread-cartridge-back-forty
Back Forty,Key Lime Kush Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,Ethanol,Rack and Tray,34.95,0.95g,95.000000,99.000000,0.500000,Hybrid,Alpha-Terpineol,Auxly Inc.,Ontario,in-store,Wholesale Only,False,key-lime-kush-liquid-diamonds-510-thread-cartridge-back-forty,https://ocs.ca/products/key-lime-kush-liquid-diamonds-510-thread-cartridge-back-forty
Back Forty,Kush Mint Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,CO2,,34.95,1g,92.000000,98.000000,0.500000,Hybrid,,Auxly Inc.,Prince Edward Island,online,Shared,True,kush-mint-510-thread-cartridge-back-forty,https://ocs.ca/products/kush-mint-510-thread-cartridge-back-forty
Back Forty,Strawberry Cough Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,CO2,Rack and Tray,34.95,1g,92.000000,98.000000,5.000000,Sativa Dominant,Alpha-Pinene,Auxly Inc.,Ontario,in-store,Wholesale Only,False,strawberry-cough-510-thread-cartridge-back-forty-strawberry-cough,https://ocs.ca/products/strawberry-cough-510-thread-cartridge-back-forty-strawberry-cough
Back Forty,Super Lemon Haze Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,CO2,,34.95,1g,92.000000,98.000000,0.500000,Sativa Dominant,,Auxly Inc.,Prince Edward Island,online,Shared,True,super-lemon-haze-510-thread-cartridge-back-forty,https://ocs.ca/products/super-lemon-haze-510-thread-cartridge-back-forty
BLAST,Cosmic Cotton Candy Resin Infused Cartridge,Resin Cartridges,Ethanol,,37.35,1g,80.000000,86.000000,6.000000,Hybrid,Beta-Caryophyllene,Elevate Wellness Inc.,British Columbia,in-store,Wholesale Only,False,cosmic-cotton-candy-resin-infused-cartridge-blast,https://ocs.ca/products/cosmic-cotton-candy-resin-infused-cartridge-blast
Bleuh,Balanced Live Resin 510 Thread Cartridge – Wildberry,Resin Cartridges,Butane,Fresh Frozen,44.90,1g,30.000000,35.000000,50.000000,Sativa Dominant,Caryophyllene,9861203 Canada Inc. d.b.a. BLEUH,Quebec,in-store,Wholesale Only,False,balanced-live-resin-510-thread-cartridge-wildberry-bleuh-wildberry,https://ocs.ca/products/balanced-live-resin-510-thread-cartridge-wildberry-bleuh-wildberry
Bleuh,Original Kush 510 Thread Cartridge,Resin Cartridges,Butane,Hang Dry,49.90,1g,82.000000,88.000000,1.000000,Indica Dominant,Caryophyllene,9861203 Canada Inc. d.b.a. BLEUH,Quebec,in-store,Wholesale Only,False,original-kush-510-thread-cartridge-bleuh,https://ocs.ca/products/original-kush-510-thread-cartridge-bleuh
BOLD GLAZED,Juicy Pineapples 97+ Liquid Diamond 510 Thread Cartridge,Resin Cartridges,CO2,Hang Dry,39.90,1g,96.000000,98.000000,1.000000,Hybrid,Caryophyllene,Bold Growth Inc.,Saskatchewan,online,Shared,True,juicy-pineapples-liquid-diamond-510-thread-cartridge-bold-glazed-juicy-pineapples-liquid-diamond,https://ocs.ca/products/juicy-pineapples-liquid-diamond-510-thread-cartridge-bold-glazed-juicy-pineapples-liquid-diamond
BOLD GLAZED,Tangie Kush Liquid Diamond 510 Thread Cartridge,Live Cartridges,CO2,Hang Dry,39.90,1g,96.000000,98.000000,1.000000,Sativa Dominant,Beta-Caryophyllene,Bold Growth Inc.,Saskatchewan,in-store,Wholesale Only,False,tangie-kush-liquid-diamond-510-thread-cartridge-bold-glazed-tangie-kush,https://ocs.ca/products/tangie-kush-liquid-diamond-510-thread-cartridge-bold-glazed-tangie-kush
BOXHOT,Berry Baddie Liquid Diamond Charged 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,34.45,1g,93.000000,99.000000,3.000000,Indica Dominant,Alpha-Pinene,ORGANIGRAM INC.,New Brunswick,online,Shared,True,berry-baddie-liquid-diamond-charged-510-thread-cartridge-boxhot,https://ocs.ca/products/berry-baddie-liquid-diamond-charged-510-thread-cartridge-boxhot
BOXHOT,Grape God Liquid Diamond Charged 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,34.45,1g,97.000000,99.000000,2.000000,Indica Dominant,Beta-Caryophyllene,ORGANIGRAM INC.,New Brunswick,in-store,Wholesale Only,False,grape-god-liquid-diamond-charged-510-thread-cartridge-boxhot,https://ocs.ca/products/grape-god-liquid-diamond-charged-510-thread-cartridge-boxhot
BOXHOT,Maui Madness Liquid Diamond Charged 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,34.45,1g,93.000000,99.000000,3.000000,Sativa Dominant,Delta-Limonene,ORGANIGRAM INC.,New Brunswick,in-store,Wholesale Only,False,maui-madness-liquid-diamond-charged-510-thread-cartridge-boxhot,https://ocs.ca/products/maui-madness-liquid-diamond-charged-510-thread-cartridge-boxhot
BOXHOT,Mint Condition Liquid Diamond Charged 510 Thread Cartridge,Live Cartridges,Butane,Rack and Tray,34.45,1g,93.000000,99.000000,3.000000,Hybrid,Delta-Limonene,ORGANIGRAM INC.,New Brunswick,online,Shared,True,mint-condition-liquid-diamond-charged-510-thread-cartridge-boxhot,https://ocs.ca/products/mint-condition-liquid-diamond-charged-510-thread-cartridge-boxhot
C.,Liquid Diamonds Blackberry Caviar 510 Thread Cartridge,Resin Cartridges,Butane,Fresh Frozen,44.95,1g,95.000000,98.000000,2.000000,Indica Dominant,Beta-Caryophyllene,CannaPiece Corp.,Ontario,in-store,Wholesale Only,False,liquid-diamonds-blackberry-caviar-510-thread-cartridge-c-blackberry-caviar,https://ocs.ca/products/liquid-diamonds-blackberry-caviar-510-thread-cartridge-c-blackberry-caviar
C.,Liquid Diamonds Hawaiian Rain 510 Thread Cartridge,Live Cartridges,Butane,,44.95,1g,95.000000,98.000000,2.000000,Hybrid,Caryophyllene,CannaPiece Corp.,Ontario,in-store,Wholesale Only,False,liquid-diamonds-hawaiian-rain-510-thread-cartriage-c,https://ocs.ca/products/liquid-diamonds-hawaiian-rain-510-thread-cartriage-c
Cabana Cannabis Co.,Blueberry Dub Liquid Diamonds Vape,Distillate Cartridges,CO2,Hang Dry,34.40,0.95g,93.000000,99.000000,6.000000,Indica Dominant,Terpenes removed,PEACE NATURALS PROJECT INC.,Ontario,in-store,Wholesale Only,False,blueberry-dub-liquid-diamonds-vape-cabana-cannabis-co-blueberry,https://ocs.ca/products/blueberry-dub-liquid-diamonds-vape-cabana-cannabis-co-blueberry
Cabana Cannabis Co.,Grape Puffs Liquid Diamond Vape Cartridge,Distillate Cartridges,CO2,Hang Dry,34.40,0.95g,93.000000,99.000000,6.000000,Hybrid,Terpenes removed,PEACE NATURALS PROJECT INC.,Ontario,in-store,Wholesale Only,False,grape-puffs-liquid-diamond-vape-cartridge-cabana-cannabis-co-grape,https://ocs.ca/products/grape-puffs-liquid-diamond-vape-cartridge-cabana-cannabis-co-grape
Cabana Cannabis Co.,Sticky Strawberry Liquid Diamond Vape Cartridge,Live Cartridges,CO2,Hang Dry,34.40,0.95g,93.000000,99.000000,6.000000,Sativa Dominant,Terpenes removed,PEACE NATURALS PROJECT INC.,Ontario,in-store,Wholesale Only,False,sticky-strawberry-liquid-diamond-vape-cartridge-cabana-cannabis-co-strawberry,https://ocs.ca/products/sticky-strawberry-liquid-diamond-vape-cartridge-cabana-cannabis-co-strawberry
Carmel,Animal Face Pure Live Resin 510 Thread Cartridge,Live Cartridges,Hydrocarbon,Hang Dry,49.10,1g,81.000000,87.000000,6.000000,Sativa Dominant,Alpha-Pinene,Carmel Pharms Corp.,Ontario,online,Shared,True,animal-face-pure-live-resin-510-thread-cartridge-carmel-animal-face-1,https://ocs.ca/products/animal-face-pure-live-resin-510-thread-cartridge-carmel-animal-face-1
Carmel,Big Apple Pure Live Resin 510 Thread Cartridge,Live Cartridges,Butane,,49.10,1g,81.000000,87.000000,6.000000,Sativa Dominant,Beta-Myrcene,Carmel Pharms Corp.,Ontario,online,Shared,True,big-apple-pure-live-resin-510-thread-cartridge-carmel-apple-fritter-x-sherb-bx1,https://ocs.ca/products/big-apple-pure-live-resin-510-thread-cartridge-carmel-apple-fritter-x-sherb-bx1
Carmel,Jungle J Pure Live Resin 510 Cart,Live Cartridges,Butane,Hang Dry,49.10,1g,82.000000,88.000000,2.000000,Indica Dominant,Caryophyllene,Carmel Pharms Corp.,Ontario,in-store,Wholesale Only,False,jungle-j-pure-live-resin-510-cart-carmel-jungle-juice,https://ocs.ca/products/jungle-j-pure-live-resin-510-cart-carmel-jungle-juice
Carmel,Slurty3 Pure Live Resin 510 Thread Cartridge,Live Cartridges,Butane,Fresh Frozen,49.10,1g,81.000000,87.000000,2.000000,Indica Dominant,Camphene,Carmel Pharms Corp.,Ontario,online,Shared,False,slurty3-pure-live-resin-510-thread-cartridge-carmel-slurty3,https://ocs.ca/products/slurty3-pure-live-resin-510-thread-cartridge-carmel-slurty3
Chillbilly,Maxed Out Liquid Diamond 510 Thread Cartridge - Cherry Tombs,Live Cartridges,Butane,Fresh Frozen,32.95,1g,92.000000,98.000000,1.000000,Sativa Dominant,Caryophyllene,Heritage Cannabis West Corporation,Ontario,in-store,Wholesale Only,False,maxed-out-liquid-diamond-510-thread-cartridge-cherry-tombs-chillbilly,https://ocs.ca/products/maxed-out-liquid-diamond-510-thread-cartridge-cherry-tombs-chillbilly
Chillbilly,Maxed Out Liquid Diamond Cartridge – Gator Blood,Live Cartridges,CO2,Hang Dry,32.95,1g,90.000000,96.000000,1.000000,Blend,Terpenes May Vary,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,gator-blood-blammo-510-thread-cartridge-chillbilly-gator-blood,https://ocs.ca/products/gator-blood-blammo-510-thread-cartridge-chillbilly-gator-blood
Chillbilly,Maxed Out Liquid Diamond Cartridge – Outlaw Nectar,Live Cartridges,CO2,Hang Dry,32.95,1g,89.000000,95.000000,1.000000,Blend,Terpenes May Vary,Heritage Cannabis West Corporation,British Columbia,in-store,Wholesale Only,False,triple-berry-truckin-blammo-510-thread-cartridge-chillbilly-triple-berry-truckin,https://ocs.ca/products/triple-berry-truckin-blammo-510-thread-cartridge-chillbilly-triple-berry-truckin
Connoisseur Culture,Connoisseur's Hash Rosin - Rotational R 510 Thread Cartridge,Rosin Cartridges,Water,Hang Dry,46.95,1g,70.000000,76.000000,2.000000,Hybrid,Terpenes May Vary,Oaziz Extracts Inc.,Quebec,in-store,Wholesale Only,False,connoisseurs-hash-rosin-rotational-r-510-thread-cartridge-connoisseur-culture-hash-pen,https://ocs.ca/products/connoisseurs-hash-rosin-rotational-r-510-thread-cartridge-connoisseur-culture-hash-pen
Contraband,Contraband Live Rosin Guava CKE 510 Thread Cartridge,Rosin Cartridges,Heat,Hang Dry,39.95,0.5g,76.000000,82.000000,2.000000,Indica Dominant,Caryophyllene,Valens Agritech Ltd.,British Columbia,in-store,Wholesale Only,False,contraband-live-rosin-guava-cke-510-thread-cartridge-contraband-guava-cake,https://ocs.ca/products/contraband-live-rosin-guava-cke-510-thread-cartridge-contraband-guava-cake
Coterie,Fruity Pebbles 97+ Liquid Diamonds 510 Thread Cartridge,Live Cartridges,Hydrocarbon,Hang Dry,36.15,1g,97.000000,99.000000,1.000000,Indica Dominant,Limonene,WEED ME INC,Ontario,in-store,Wholesale Only,False,fruity-pebbles-97-liquid-diamonds-510-thread-cartridge-coterie,https://ocs.ca/products/fruity-pebbles-97-liquid-diamonds-510-thread-cartridge-coterie
Coterie,Fuji Apple 97+ Liquid Diamonds 510 Cart,Distillate Cartridges,Hydrocarbon,Fresh Frozen,36.15,1g,97.000000,99.000000,1.000000,Sativa Dominant,Alpha-Bisabolol,WEED ME INC,Quebec,in-store,Wholesale Only,False,granny-smith-live-terpene-510-thread-cartridge-coterie-green-gushers,https://ocs.ca/products/granny-smith-live-terpene-510-thread-cartridge-coterie-green-gushers
Coterie,Prickly Pear 97+ Liquid Diamonds 510 Thread Cartridge,Live Cartridges,Butane,Hang Dry,36.15,1g,97.000000,99.000000,6.000000,Sativa Dominant,Humulene,WEED ME INC,Quebec,online,Shared,True,prickly-pear-liquid-diamonds-510-thread-cartridge-coterie-chitral-kush-x-ogkb-x-ocean-haze,https://ocs.ca/products/prickly-pear-liquid-diamonds-510-thread-cartridge-coterie-chitral-kush-x-ogkb-x-ocean-haze
Countryside Cannabis,Mandarin CKS Live Terp Sauce 510 Vape Cartridge,Live Cartridges,,Fresh Frozen,37.95,1g,79.000000,85.000000,1.000000,Sativa Dominant,Alpha-Pinene,MERA CANNABIS CORP.,Ontario,in-store,Wholesale Only,False,mandarin-cks-live-terp-sauce-510-vape-cartridge-countryside-cannabis-mandarin-cookies,https://ocs.ca/products/mandarin-cks-live-terp-sauce-510-vape-cartridge-countryside-cannabis-mandarin-cookies
Dab Bods,Orange Hill FSE Shatter 510 Thread Cartridge,Live Cartridges,Butane,Hang Dry,37.35,1g,76.000000,84.000000,0.500000,Indica Dominant,Myrcene,1998643 ALBERTA LTD O/A STIGMA GROW,Ontario,in-store,Wholesale Only,False,orange-hill-fse-shatter-510-thread-cartridge-dab-bods-orange-hill,https://ocs.ca/products/orange-hill-fse-shatter-510-thread-cartridge-dab-bods-orange-hill
DayDay,Full Spectrum CBG+CBD+THC Vape 510 Thread Cartridge,Distillate Cartridges,Ethanol,Rack and Tray,29.95,1g,12.000000,18.000000,53.500000,Blend,Alpha-Caryophyllene,Purileaf Brands Corporation,British Columbia,in-store,Wholesale Only,False,full-spectrum-cbg-cbd-thc-vape-510-thread-cartridge-dayday,https://ocs.ca/products/full-spectrum-cbg-cbd-thc-vape-510-thread-cartridge-dayday
Debunk,Blackberry Haze Liquid Diamonds 510 Vape,Distillate Cartridges,Butane,Rack and Tray,37.95,1g,93.000000,99.000000,1.000000,Indica Dominant,Alpha-Pinene,ORGANIGRAM INC.,Ontario,online,Shared,True,blackberry-haze-liquid-diamonds-510-vape-debunk-blackberry-haze,https://ocs.ca/products/blackberry-haze-liquid-diamonds-510-vape-debunk-blackberry-haze
DEBUNK,Blueberry Kush Live Resin 510 Thread Cartridge,Live Cartridges,Butane,Fresh Frozen,44.95,1g,72.000000,78.000000,1.000000,Indica Dominant,Beta-Caryophyllene,ORGANIGRAM INC.,British Columbia,in-store,Wholesale Only,False,blueberry-kush-live-resin-510-thread-cartridge-debunk-blueberry-kush,https://ocs.ca/products/blueberry-kush-live-resin-510-thread-cartridge-debunk-blueberry-kush
DEBUNK,Funky GLTO Live Resin 510 Thread Cartridge,Resin Cartridges,Butane,Rack and Tray,44.95,1g,80.000000,84.000000,1.000000,Indica Dominant,Beta-Caryophyllene,ORGANIGRAM INC.,New Brunswick,online,Shared,True,funky-glto-live-resin-510-thread-cartridge-debunk-funky-panties-x-chimp-mint-gelato,https://ocs.ca/products/funky-glto-live-resin-510-thread-cartridge-debunk-funky-panties-x-chimp-mint-gelato
DEBUNK,Glass Apple Liquid Diamonds 510 Thread Cartridge,Resin Cartridges,Hydrocarbon,Rack and Tray,37.95,1g,93.000000,99.000000,1.000000,Hybrid,Caryophyllene,ORGANIGRAM INC.,Ontario,in-store,Wholesale Only,False,glass-apple-liquid-diamonds-510-thread-cartridge-debunk-ice,https://ocs.ca/products/glass-apple-liquid-diamonds-510-thread-cartridge-debunk-ice
DEBUNK,Kiwi Kush Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,Hydrocarbon,,37.95,1g,93.000000,99.000000,1.000000,Sativa Dominant,Caryophyllene,ORGANIGRAM INC.,Ontario,online,Shared,True,kiwi-kush-liquid-diamonds-510-thread-cartridge-debunk-ice,https://ocs.ca/products/kiwi-kush-liquid-diamonds-510-thread-cartridge-debunk-ice
DEBUNK,Maui Mango Haze Liquid Diamonds 510 Thread Cartridge,CO2 Cartridges,Hydrocarbon,Rack and Tray,37.95,1g,93.000000,99.000000,1.000000,Sativa Dominant,Limonene,ORGANIGRAM INC.,Ontario,in-store,Wholesale Only,False,maui-mango-haze-liquid-diamonds-510-thread-cartridge-debunk-ice-purple-sour-x-starburst-bubba,https://ocs.ca/products/maui-mango-haze-liquid-diamonds-510-thread-cartridge-debunk-ice-purple-sour-x-starburst-bubba
DEBUNK,Melonade Liquid Diamond 510 Thread Cartridge,Distillate Cartridges,CO2,Rack and Tray,37.95,1g,93.000000,99.000000,1.000000,Sativa Dominant,Caryophyllene,ORGANIGRAM INC.,Ontario,in-store,Wholesale Only,False,melonade-liquid-diamond-510-thread-cartridge-debunk-melonade,https://ocs.ca/products/melonade-liquid-diamond-510-thread-cartridge-debunk-melonade
DEBUNK,Moon Drops Liquid Diamonds 510 Thread Cartridge,Distillate Cartridges,Hydrocarbon,,37.95,1g,93.000000,99.000000,1.000000,Indica Dominant,Caryophyllene,ORGANIGRAM INC.,Ontario,online,Shared,True,moon-drops-liquid-diamonds-510-thread-cartridge-debunk-ice,https://ocs.ca/products/moon-drops-liquid-diamonds-510-thread-cartridge-debunk-ice
